x,y
0,1.2159347534179688e-05
1,7.867813110351562e-06
2,5.91278076171875e-05
3,1.1682510375976562e-05
4,1.2874603271484375e-05
5,1.5974044799804688e-05
6,1.6927719116210938e-05
7,1.8835067749023438e-05
8,2.09808349609375e-05
9,2.2172927856445312e-05
10,2.5033950805664062e-05
11,2.7179718017578125e-05
12,3.1948089599609375e-05
13,3.24249267578125e-05
14,3.4809112548828125e-05
15,3.719329833984375e-05
16,4.7206878662109375e-05
17,5.078315734863281e-05
18,5.1975250244140625e-05
19,5.602836608886719e-05
20,5.817413330078125e-05
21,6.008148193359375e-05
22,6.29425048828125e-05
23,6.508827209472656e-05
24,6.914138793945312e-05
25,7.200241088867188e-05
26,7.414817810058594e-05
27,7.987022399902344e-05
28,8.392333984375e-05
29,9.179115295410156e-05
30,9.322166442871094e-05
31,9.703636169433594e-05
32,9.918212890625e-05
33,0.0001049041748046875
34,0.00010704994201660156
35,0.00011205673217773438
36,0.00011992454528808594
37,0.0001239776611328125
38,0.0001220703125
39,0.000125885009765625
40,0.00013113021850585938
41,0.0001327991485595703
42,0.00013899803161621094
43,0.00019097328186035156
44,0.00015211105346679688
45,0.00015091896057128906
46,0.0001862049102783203
47,0.00017404556274414062
48,0.0001659393310546875
49,0.00016880035400390625
50,0.00017380714416503906
51,0.00017690658569335938
52,0.00017905235290527344
53,0.00020503997802734375
54,0.00019097328186035156
55,0.00024819374084472656
56,0.00019693374633789062
57,0.0002028942108154297
58,0.00021314620971679688
59,0.00022125244140625
60,0.00023293495178222656
61,0.0002391338348388672
62,0.00024819374084472656
63,0.0002570152282714844
64,0.0002570152282714844
65,0.00026106834411621094
66,0.00028324127197265625
67,0.0002791881561279297
68,0.0002923011779785156
69,0.0002899169921875
70,0.0002887248992919922
71,0.0002961158752441406
72,0.0002989768981933594
73,0.00030803680419921875
74,0.0003590583801269531
75,0.0003960132598876953
76,0.00039386749267578125
77,0.0004138946533203125
78,0.0004050731658935547
79,0.0004222393035888672
80,0.0004189014434814453
81,0.0004367828369140625
82,0.0004868507385253906
83,0.0004489421844482422
84,0.0004730224609375
85,0.0004658699035644531
86,0.0004730224609375
87,0.0004801750183105469
88,0.00047898292541503906
89,0.0005040168762207031
90,0.0004999637603759766
91,0.0005130767822265625
92,0.0005581378936767578
93,0.0005099773406982422
94,0.0005199909210205078
95,0.0005331039428710938
96,0.0005412101745605469
97,0.0005640983581542969
98,0.0005519390106201172
99,0.0005621910095214844
100,0.0005671977996826172
101,0.0006101131439208984
102,0.0005886554718017578
103,0.0006079673767089844
104,0.0005979537963867188
105,0.0006082057952880859
106,0.0006072521209716797
107,0.0006170272827148438
108,0.0006368160247802734
109,0.0006749629974365234
110,0.0006630420684814453
111,0.0006520748138427734
112,0.0006690025329589844
113,0.0006930828094482422
114,0.0006871223449707031
115,0.000682830810546875
116,0.0007510185241699219
117,0.0007050037384033203
118,0.0007212162017822266
119,0.0007202625274658203
120,0.0007228851318359375
121,0.0007319450378417969
122,0.000743865966796875
123,0.0008180141448974609
124,0.0008108615875244141
125,0.0009379386901855469
126,0.0008900165557861328
127,0.0008881092071533203
128,0.0009500980377197266
129,0.0009121894836425781
130,0.0009198188781738281
131,0.0009260177612304688
132,0.000926971435546875
133,0.0009517669677734375
134,0.0009889602661132812
135,0.0009551048278808594
136,0.0009677410125732422
137,0.0010030269622802734
138,0.0009877681732177734
139,0.0010569095611572266
140,0.0010349750518798828
141,0.0010068416595458984
142,0.0010228157043457031
143,0.001069784164428711
144,0.001051187515258789
145,0.0010540485382080078
146,0.0010890960693359375
147,0.0010678768157958984
148,0.0011551380157470703
149,0.0011241436004638672
150,0.001119852066040039
151,0.0011188983917236328
152,0.0012001991271972656
153,0.0011341571807861328
154,0.001146078109741211
155,0.0011811256408691406
156,0.001172780990600586
157,0.0012640953063964844
158,0.001219034194946289
159,0.0012068748474121094
160,0.001219034194946289
161,0.001275777816772461
162,0.001230001449584961
163,0.0012688636779785156
164,0.0012507438659667969
165,0.0013251304626464844
166,0.0013146400451660156
167,0.0012831687927246094
168,0.0013828277587890625
169,0.0013041496276855469
170,0.0013298988342285156
171,0.0013720989227294922
172,0.0014147758483886719
173,0.0013709068298339844
174,0.0013680458068847656
175,0.0013628005981445312
